Protocol,Port,Domain,Resolved,Request Status,Title,Category,Default Creds,Screenshot Path, Source Path
https,443,gitlab.com,172.65.251.78,Successful,"The most-comprehensive AI-powered DevSecOps platform | GitLab",None,"None",/workspaces/demo/EyeWitness/Python/2025-03-22_224009/screens/https.gitlab.com.png,/workspaces/demo/EyeWitness/Python/2025-03-22_224009/source/https.gitlab.com.txt
https,443,17-3awww.community.gitlab.com,35.202.109.25,Successful,"GitLab Community Apps Suite",None,"None",/workspaces/demo/EyeWitness/Python/2025-03-22_224009/screens/https.newamericanjackets.community.gitlab.com.png,/workspaces/demo/EyeWitness/Python/2025-03-22_224009/source/https.17-3awww.community.gitlab.com.txt
https,443,079-client.community.gitlab.com,35.202.109.25,Successful,"GitLab Community Apps Suite",None,"None",/workspaces/demo/EyeWitness/Python/2025-03-22_224009/screens/https.newamericanjackets.community.gitlab.com.png,/workspaces/demo/EyeWitness/Python/2025-03-22_224009/source/https.079-client.community.gitlab.com.txt
https,443,12366.community.gitlab.com,35.202.109.25,Successful,"GitLab Community Apps Suite",None,"None",/workspaces/demo/EyeWitness/Python/2025-03-22_224009/screens/https.newamericanjackets.community.gitlab.com.png,/workspaces/demo/EyeWitness/Python/2025-03-22_224009/source/https.12366.community.gitlab.com.txt
https,443,111megawatt.community.gitlab.com,35.202.109.25,Successful,"GitLab Community Apps Suite",None,"None",/workspaces/demo/EyeWitness/Python/2025-03-22_224009/screens/https.newamericanjackets.community.gitlab.com.png,/workspaces/demo/EyeWitness/Python/2025-03-22_224009/source/https.111megawatt.community.gitlab.com.txt
https,443,1887dt387czs25eqxs3c1ipg-wpengine.community.gitlab.com,35.202.109.25,Successful,"GitLab Community Apps Suite",None,"None",/workspaces/demo/EyeWitness/Python/2025-03-22_224009/screens/https.newamericanjackets.community.gitlab.com.png,/workspaces/demo/EyeWitness/Python/2025-03-22_224009/source/https.1887dt387czs25eqxs3c1ipg-wpengine.community.gitlab.com.txt
https,443,10-dev-v13-kibana.community.gitlab.com,35.202.109.25,Successful,"GitLab Community Apps Suite",None,"None",/workspaces/demo/EyeWitness/Python/2025-03-22_224009/screens/https.newamericanjackets.community.gitlab.com.png,/workspaces/demo/EyeWitness/Python/2025-03-22_224009/source/https.10-dev-v13-kibana.community.gitlab.com.txt
https,443,1811878398.community.gitlab.com,35.202.109.25,Successful,"GitLab Community Apps Suite",None,"None",/workspaces/demo/EyeWitness/Python/2025-03-22_224009/screens/https.newamericanjackets.community.gitlab.com.png,/workspaces/demo/EyeWitness/Python/2025-03-22_224009/source/https.1811878398.community.gitlab.com.txt
https,443,039-client.community.gitlab.com,35.202.109.25,Successful,"GitLab Community Apps Suite",None,"None",/workspaces/demo/EyeWitness/Python/2025-03-22_224009/screens/https.newamericanjackets.community.gitlab.com.png,/workspaces/demo/EyeWitness/Python/2025-03-22_224009/source/https.039-client.community.gitlab.com.txt
https,443,1919.community.gitlab.com,35.202.109.25,Successful,"GitLab Community Apps Suite",None,"None",/workspaces/demo/EyeWitness/Python/2025-03-22_224009/screens/https.newamericanjackets.community.gitlab.com.png,/workspaces/demo/EyeWitness/Python/2025-03-22_224009/source/https.1919.community.gitlab.com.txt
